heading,roll,pitch,ax,ay,az,mx,my,mz,count
9.643778,98.34068,-14.0541,-0.4584961,1.999939,-1.035645,53.792,-22.11914,52.00489,258
4.303951,96.15731,-13.88625,-0.1564941,1.999939,-1.51001,50.97012,-19.6418,54.39199,259
-4.81708,91.32214,-15.37114,-0.1977539,1.1521,-1.984375,46.91368,-16.6336,57.97266,260
-10.18061,85.15175,-26.14476,1.343262,-0.451416,-1.215576,41.44629,-3.716016,56.7791,261
-9.446591,76.9807,-37.00425,1.129883,-0.7473145,-1.121338,39.85899,7.078125,56.6086,262
-12.97326,71.32397,-46.10464,0.8095703,-1.025146,-1.182129,42.15176,12.56367,63.2584,263
-11.52458,61.65412,-53.79846,0.9282227,-1.709961,-1.096191,43.20996,18.58008,68.71465,264
-16.80916,56.79452,-58.80013,0.6655273,-1.615723,0.9572754,45.50273,16.6336,75.36446,265
-23.50991,59.10775,-60.94123,0.3796387,-1.019043,-0.6083984,47.26641,17.69531,82.18477,266
-1.460384,33.55964,-64.34837,1.37085,-0.8586426,-0.05102539,46.91368,21.94219,79.11563,267
13.72052,16.15189,-63.81221,1.391357,-0.6123047,0.09008789,50.26465,22.82696,77.92207,268
8.620783,19.81549,-67.8354,0.9406738,-0.4172363,-0.1005859,48.32461,20.17266,81.84375,269
10.69324,16.49106,-69.16781,1.11084,-0.3352051,0.1855469,48.32461,20.88047,82.18477,270
12.43086,14.27683,-68.27512,1.02832,-0.2988281,0.2211914,50.61738,19.28789,83.03731,271
12.98363,14.57498,-66.98742,1.035645,-0.2685547,0.135498,48.32461,19.11094,83.88985,272
14.06862,13.09143,-65.7781,1.0896,-0.2648926,0.2648926,48.14825,17.87227,83.37832,273
16.30556,11.22017,-64.51825,1.009521,-0.2260742,0.1950684,49.20645,17.51836,83.37832,274
19.62063,7.880624,-62.82295,1.042969,-0.2028809,0.151123,48.32461,18.75703,83.88985,275
143.0867,12.56814,-74.70515,0.9758301,-0.1391602,0.2478027,46.91368,19.81875,77.75156,430
146.0446,10.86326,-74.97118,0.9577637,-0.1330566,0.2036133,47.44277,19.6418,78.94512,431
151.2867,7.898007,-75.6875,1.005615,-0.1577148,0.2111816,47.97188,19.46484,79.45664,432
155.9396,5.476902,-76.37947,1.043945,-0.1865234,0.2338867,47.61914,19.81875,78.09258,433
160.9322,2.701051,-76.51617,1.056396,-0.1838379,0.2490234,48.32461,22.29609,78.43359,434
166.6201,-0.6145367,-76.60782,1.067627,-0.1784668,0.2663574,47.97188,22.29609,78.09258,435
170.7817,-2.338794,-76.34384,1.07959,-0.140625,0.2663574,47.09004,21.41133,79.62715,436
173.3237,-2.122102,-76.43231,1.054199,-0.1484375,0.2233887,47.97188,21.58828,77.41055,437
174.5842,-0.239694,-77.1991,0.9919434,-0.1398926,0.2358398,47.79551,19.6418,77.58106,438
178.487,-1.95607,-76.76927,0.973877,-0.1184082,0.232666,46.7373,21.05742,77.24004,439
-177.5172,-3.55904,-76.97125,0.9924316,-0.1047363,0.2097168,47.09004,19.28789,78.6041,440
-173.5696,-5.219504,-77.6001,0.996582,-0.1035156,0.2041016,47.44277,19.9957,78.26309,441
-169.8941,-6.731036,-78.53845,1.007568,-0.1171875,0.1921387,47.61914,19.81875,78.09258,442
-162.7074,-12.00268,-78.88114,0.9997559,-0.1330566,0.2463379,47.61914,19.46484,78.09258,443
-154.9716,-17.71764,-77.99173,1.010254,-0.1398926,0.2490234,46.7373,19.9957,79.62715,444
-151.5352,-19.05303,-76.82176,1.010254,-0.1394043,0.2595215,46.38457,19.6418,79.96817,445
-146.264,-21.76177,-76.19827,0.9973145,-0.1374512,0.2353516,47.97188,19.46484,79.11563,446
-141.6447,-24.11389,-75.55766,1.019531,-0.1308594,0.2412109,46.7373,20.70352,77.92207,447
-139.7918,-23.97692,-76.22009,1.023438,-0.1337891,0.2351074,47.61914,21.23438,77.06954,448
-133.2336,-28.93863,-75.96635,1.009521,-0.1411133,0.2275391,46.7373,21.05742,78.94512,449
-131.1248,-29.18619,-75.75273,1.014648,-0.1496582,0.2231445,46.56094,20.88047,77.75156,450
-126.3201,-33.1309,-75.54325,1.048096,-0.1472168,0.2414551,47.44277,19.28789,78.94512,451
-129.1506,-28.91732,-74.95455,1.011475,-0.1474609,0.2348633,47.61914,20.88047,77.75156,452
-125.8048,-32.01476,-74.85204,1.006104,-0.1535645,0.2478027,47.79551,19.9957,78.26309,453
-126.4834,-31.129,-73.49568,1.014648,-0.144043,0.2346191,47.09004,19.6418,77.92207,454
-126.2082,-31.27174,-74.76481,1.019043,-0.1374512,0.2365723,47.09004,19.6418,78.6041,455
-127.1884,-30.21667,-75.12719,0.9973145,-0.1474609,0.2407227,46.7373,19.6418,78.6041,456
-126.1337,-31.06741,-74.71748,1.043457,-0.1279297,0.236084,48.85372,19.9957,78.94512,457
-129.0425,-28.24005,-75.23544,1.022705,-0.1408691,0.2304688,46.91368,20.88047,77.75156,458
-126.6075,-30.83837,-74.8906,1.039307,-0.1247559,0.229248,46.03184,20.34961,77.58106,459
