heading,roll,pitch,ax,ay,az,mx,my,mz,count
-0.6817183,68.91006,19.89788,-1.081787,-1.81958,0.1074219,176.7199,-27.60469,16.02774,440
-3.964845,66.70111,25.37191,-0.3239746,-1.237549,0.762207,184.3037,-19.9957,16.53926,441
-2.88414,70.86729,36.6377,-1.042725,-1.250977,0.1174316,189.4184,-17.69531,18.41484,442
-8.982319,64.59487,49.14615,-1.400879,-1.418701,1.420898,191.5348,-12.38672,18.07383,443
-11.28757,65.99514,51.89067,-0.5917969,-0.973877,-0.6955566,194.0039,-13.80234,18.75586,444
-24.52235,52.4907,53.74654,-0.6904297,0.03100586,0.8186035,187.8311,-15.74883,15.1752,461
-25.70101,49.73366,53.73349,-0.822998,-0.05273438,0.9865723,187.6547,-15.57188,15.3457,462
-28.33908,46.21298,54.40975,-0.9106445,-0.07910156,0.5390625,187.302,-15.21797,13.64063,463
-29.71997,43.21832,56.52386,-0.8991699,-0.112793,0.5043945,188.5365,-15.04102,13.47012,464
-30.34632,41.13998,58.83584,-0.8349609,-0.0949707,0.4040527,189.4184,-15.57188,16.36875,465
-30.6233,39.10005,60.89999,-0.7387695,-0.07641602,0.347168,190.1238,-14.86406,15.68672,466
-31.65352,35.53909,62.82917,-0.6057129,-0.07763672,0.4191895,188.3602,-14.51016,15.00469,467
-34.24871,30.86375,63.2555,-0.671875,-0.08251953,0.4245605,189.5947,-14.3332,14.49317,468
-37.26045,25.7814,64.06642,-0.6853027,-0.09082031,0.4226074,188.0074,-15.21797,14.32266,469
-40.88314,19.78217,64.27578,-0.7412109,-0.109375,0.5107422,190.6529,-13.62539,14.15215,470
-43.34291,15.13984,63.35383,-0.7492676,-0.1083984,0.4377441,188.7129,-15.57188,15.3457,471
-43.43493,12.67302,64.36401,-0.7143555,-0.1237793,0.4501953,188.3602,-15.21797,14.66367,472
-44.30103,8.990025,63.82173,-0.810791,-0.1323242,0.4873047,188.5365,-13.9793,14.49317,473
-42.26766,8.808356,64.49451,-0.713623,-0.126709,0.4082031,188.8893,-14.3332,14.15215,474
-40.98645,6.867524,64.20294,-0.7839355,-0.1154785,0.4331055,189.4184,-15.92578,13.29961,475
-38.46185,7.106841,64.52625,-0.7543945,-0.1022949,0.3955078,188.8893,-15.39492,14.49317,476
-35.44899,7.542264,64.49453,-0.7089844,-0.09179688,0.4287109,188.0074,-15.21797,14.66367,477
-33.58351,6.931078,63.89349,-0.730957,-0.09057617,0.4528809,188.7129,-14.86406,14.66367,478
-31.68375,6.38787,62.80049,-0.7062988,-0.09594727,0.4223633,188.3602,-15.57188,15.68672,479
-30.32843,5.348682,62.76887,-0.7507324,-0.1040039,0.4858398,188.5365,-15.04102,13.81113,480
-28.61213,4.803153,61.42253,-0.7329102,-0.1181641,0.4291992,188.1838,-15.39492,13.81113,481
-27.50149,3.688862,61.33407,-0.7197266,-0.104248,0.4487305,188.3602,-15.92578,14.66367,482
-25.3714,3.365541,60.9764,-0.7243652,-0.08422852,0.3952637,187.4783,-15.39492,13.81113,483
-23.22048,4.159198,61.60674,-0.7624512,-0.0715332,0.3955078,188.7129,-15.21797,13.98164,484
-21.46044,4.187984,61.90742,-0.7648926,-0.08129883,0.4445801,186.5965,-15.21797,13.98164,485
-19.70268,4.203497,61.84566,-0.7106934,-0.08618164,0.4438477,188.3602,-14.86406,12.95859,486
