heading,roll,pitch,ax,ay,az,mx,my,mz,count
12.05628,88.25663,-17.53943,1.395508,1.631104,-1.664551,140.0355,-26.18906,38.53477,427
11.37432,84.12069,-15.47401,1.953613,0.8017578,-1.083252,140.741,-27.60469,34.10156,428
10.8269,74.56905,-7.860897,1.999939,-1.022949,-1.109375,146.5611,-29.55117,21.99551,429
9.839015,66.06046,-0.4306054,0.8942871,-1.901611,0.06884766,150.2648,-27.25078,15.00469,430
6.799742,55.75601,7.892844,0.3874512,-1.560791,-0.402832,155.0268,-20.70352,7.331836,431
0.9973753,44.63426,15.29262,0.208252,-1.681885,-0.1245117,158.3777,-15.21797,2.728125,432
-3.30446,32.69521,21.77593,0.5185547,-1.568359,0.690918,161.9051,-9.201563,1.023047,433
-9.621204,22.32321,25.29433,0.2678223,-1.657471,0.5217285,164.5506,-5.485547,-0.8525392,434
-16.37018,12.35146,26.77675,-0.02758789,-1.674805,1.311523,162.7869,-1.592578,-0.5115235,435
-21.59412,6.529151,26.88882,-0.2478027,-1.410156,1.066406,163.4924,-1.592578,-2.216602,436
-24.50193,5.298153,26.59819,-0.02368164,-1.047607,0.8112793,162.7869,-3.362109,-1.193555,437
-25.37127,5.774543,24.32689,-0.1010742,-0.7678223,0.8515625,161.5523,-5.6625,-1.705078,438
-25.09864,7.774071,21.86603,0.1123047,-0.626709,0.8435059,161.5523,-7.785938,0.0,439
-21.53586,11.6132,20.706,0.5546875,-0.4626465,0.8127441,161.7287,-8.670704,0.1705078,440
-18.11682,17.18519,18.08473,0.3571777,-0.3369141,0.9882813,160.8469,-14.51016,2.046094,441
-14.44353,22.16782,16.59819,0.1394043,-0.347168,1.123535,161.9051,-17.69531,3.751172,442
-9.107925,28.82818,15.97997,0.2548828,-0.2280273,1.02417,160.6705,-19.9957,5.967773,443
-4.474751,36.85134,13.57918,0.07104492,-0.004882813,0.7304688,160.6705,-24.95039,9.37793,444
3.664198,45.68456,11.82381,-0.1164551,0.02612305,0.8222656,159.4359,-28.3125,14.66367,445
13.42485,54.85703,9.672992,0.5290527,0.2172852,0.3842773,158.5541,-30.25899,16.53926,446
20.81924,60.35577,5.36064,0.2990723,0.5678711,0.7126465,155.5559,-31.49766,21.14297,447
23.671,67.31142,0.1327125,0.06811523,0.8344727,0.05615234,155.3795,-33.79805,25.40566,448
25.67171,76.23028,-2.69688,-0.01831055,1.065186,-0.0546875,154.1449,-32.91328,28.3043,449
29.75508,82.88166,-6.523724,0.4465332,1.249268,-0.1994629,150.6176,-32.55938,29.66836,450
29.87171,88.12107,-9.048074,-0.1984863,1.285156,-0.2695313,151.3231,-33.26719,32.7375,451
29.98804,90.22874,-8.182817,-0.03149414,1.2854,0.08666992,150.2648,-32.20547,33.07852,452
34.81909,87.40001,-9.95377,0.1960449,1.177246,0.2946777,149.2066,-31.85157,31.71446,453
34.2703,85.98827,-8.830014,-0.1274414,1.091064,0.4135742,148.6775,-32.38242,30.5209,454
36.40637,84.61776,-7.644473,-0.07885742,0.965332,0.3867188,149.0303,-31.3207,31.88496,455
37.5577,84.48287,-7.062822,-0.02246094,0.9648438,0.06860352,149.7357,-31.67461,29.15684,456
36.1216,85.61347,-5.202306,-0.2807617,0.9375,0.2431641,147.0902,-32.91328,30.00938,457
