heading,roll,pitch,ax,ay,az,mx,my,mz,count
47.38101,87.25715,-32.99798,0.5561523,0.3015137,-0.1481934,60.84669,-27.42774,80.65021,306
46.88395,90.48545,-37.57528,0.6464844,0.2766113,-0.3874512,59.08301,-24.59649,83.03731,307
44.49053,103.1007,-48.89319,1.287109,0.4448242,-0.6254883,55.02656,-18.40313,86.95899,308
45.52299,111.9923,-57.68491,1.813232,0.722168,-0.697998,51.67559,-9.378516,87.47051,309
49.9652,118.0421,-61.07934,1.382568,0.7897949,-0.4172363,50.26465,-5.839453,86.10644,310
65.34514,113.4594,-58.75378,0.8835449,0.9760742,-0.4179688,48.50098,-5.839453,82.69629,311
80.59478,108.5444,-56.74341,0.9179688,1.38916,-0.1086426,47.44277,-4.777735,77.58106,312
94.39756,104.0426,-53.52631,-0.1821289,1.999939,-0.1403809,46.56094,-6.370313,74.0004,313
109.1348,98.78519,-54.45743,-0.1489258,1.999939,-0.7536621,43.20996,-5.485547,69.05567,314
111.4142,99.34844,-53.91821,-0.9243164,1.999939,-1.03833,44.79727,-5.308594,68.20313,315
105.3304,99.06112,-58.02407,-1.111328,1.999939,-1.984375,42.68086,0.0,67.5211,316
104.199,92.55593,-62.40266,-0.7143555,1.150879,-1.984375,43.20996,6.901172,67.00958,317
75.32814,110.5825,-68.49674,-0.02246094,-0.4023438,-1.984375,44.0918,13.80234,72.63633,318
46.31867,129.8431,-74.70705,0.04052734,-0.9265137,-1.984375,48.67734,21.58828,79.45664,319
1.858428,164.8304,-77.61332,-0.2426758,-1.64624,-1.984375,53.61563,25.48125,84.9129,320
-39.62534,-163.009,-73.24649,-0.08325195,-1.984375,-1.935547,59.43574,26.01211,92.24473,321
-60.72998,-151.525,-64.05918,0.1577148,-1.984375,-1.199707,66.6668,23.71172,99.57657,322
-77.08783,-144.9533,-57.24905,0.9677734,-1.984375,-1.191162,71.78145,23.18086,103.4982,323
-87.60519,-143.9854,-52.4026,0.8837891,-1.984375,-0.3127441,72.13418,18.93398,107.5904,324
-93.43211,-143.0774,-51.60601,0.6916504,-1.706543,-0.1940918,70.72324,17.51836,107.9314,325
-98.31839,-139.1319,-53.01313,0.4602051,-1.530029,-0.2541504,70.89962,16.27969,105.7148,326
-97.83291,-139.0831,-52.19728,0.770752,-1.177246,0.1191406,70.72324,17.16445,105.8854,327
-96.06843,-137.7783,-53.34962,1.093994,-1.048096,-0.2697754,69.84141,18.04922,106.0559,328
-90.23773,-136.3817,-56.14048,0.8081055,-0.9091797,-0.7353516,67.90137,18.22617,106.5674,329
-82.16802,-136.6837,-60.32196,1.303711,-0.611084,-0.8684082,65.25586,19.81875,101.9637,330
-71.36866,-139.8697,-67.70587,1.780273,-0.4169922,-0.9650879,59.78848,16.81055,99.74708,331
-42.79161,-159.4165,-76.71285,0.6960449,-0.3859863,-0.8479004,54.32109,9.909375,94.80235,332
-3.586388,166.0402,-78.21454,0.5734863,0.09594727,-0.7412109,50.61738,6.547266,92.92676,333
39.72469,127.9285,-75.40104,0.7038574,0.4150391,-0.8183594,49.91191,0.1769531,89.5166,334
54.96043,116.0268,-66.84326,0.2783203,0.4421387,-0.3981934,49.73555,-5.308594,87.98203,335
62.15443,110.6059,-57.50745,0.2458496,0.6437988,0.1088867,51.32286,-11.14805,85.42441,336
72.63952,101.9545,-50.41232,0.2456055,0.7399902,-0.0004882813,51.14649,-16.27969,84.57188,337
79.27341,97.73178,-43.75022,0.1550293,0.9372559,0.03833008,53.43926,-20.70352,82.01427,338
82.87664,96.39369,-36.70985,0.08520508,1.033691,0.2421875,55.20293,-22.11914,82.01427,339
86.58987,94.60202,-30.10326,0.06640625,1.075928,0.0480957,56.08477,-23.35781,81.16172,340
88.67,94.00325,-26.17959,0.3012695,1.273438,0.06274414,57.14297,-26.54297,81.84375,341
88.79249,93.76109,-21.07262,0.02856445,1.221924,0.1118164,58.73027,-27.78164,80.30918,342
88.26028,92.67059,-16.98743,0.4052734,1.161377,0.1730957,59.78848,-27.07383,80.99121,343
86.64085,90.57467,-14.85512,0.4025879,1.009521,0.2763672,63.31583,-28.84336,79.62715,344
83.6551,89.16036,-12.28556,0.2368164,0.9868164,0.217041,63.49219,-30.78984,79.79766,345
80.8137,88.03706,-12.02355,0.6079102,1.058838,0.3288574,65.78496,-32.38242,81.33224,346
78.69522,87.65108,-12.34067,0.3249512,1.049316,0.208252,65.78496,-30.25899,82.69629,347
77.76222,86.7559,-11.03925,0.3293457,1.090088,0.06689453,66.84317,-31.3207,82.01427,348
76.09466,86.69833,-11.97712,0.4758301,1.108887,0.0078125,66.6668,-31.14375,83.88985,349
73.23299,87.4389,-12.43367,0.2758789,1.109131,0.01489258,67.01953,-32.20547,82.8668,350
70.9935,87.86174,-11.16361,0.2363281,1.131836,-0.1047363,66.84317,-32.38242,83.71934,351
69.29734,88.64277,-11.46599,0.4018555,1.121094,-0.004882813,67.90137,-32.02852,82.01427,352
66.89256,88.17418,-11.73997,0.1921387,1.064453,0.05004883,68.7832,-30.78984,83.54883,353
63.96595,87.49636,-10.83989,0.2414551,1.062744,0.08129883,68.60684,-33.44414,82.35528,354
62.4962,85.69661,-11.06118,0.2587891,1.003906,0.1364746,68.07774,-32.91328,80.47969,355
60.17712,83.92214,-12.25045,0.2478027,0.9938965,0.1179199,67.37227,-33.975,81.50274,356
57.70324,83.08577,-12.73392,0.2802734,0.9890137,0.1010742,70.19414,-33.62109,80.82071,357
56.32596,83.1572,-13.95772,0.3059082,1.030762,0.04956055,70.89962,-34.32891,80.47969,358
55.15771,84.29626,-14.01607,0.2580566,1.042969,0.04052734,68.2541,-32.73633,81.67325,359
