heading,roll,pitch,ax,ay,az,mx,my,mz,count
-118.4899,-96.66232,-33.66737,0.8979492,-0.4121094,0.1662598,51.49922,25.48125,43.30899,11
-124.2867,-93.06801,-38.78954,0.8430176,-0.4135742,0.1445313,53.08652,24.95039,36.65918,12
-136.5231,-84.70671,-43.71225,1.233154,-0.4528809,0.4301758,58.55391,22.65,31.71446,13
-149.8178,-74.01027,-47.18656,0.7924805,-0.4443359,0.2368164,60.67031,21.94219,28.3043,14
-159.6479,-66.62801,-48.65653,0.8959961,-0.2607422,0.6645508,64.5504,20.17266,25.57617,15
-173.6027,-55.70585,-47.49533,0.6516113,-0.3566895,0.5480957,70.54688,23.00391,22.16602,16
178.754,-49.23129,-43.03176,1.056885,-0.3735352,0.5048828,76.367,19.9957,23.01856,17
175.5961,-47.2717,-44.33147,0.7080078,-0.4265137,0.4250488,77.77793,21.76524,22.33653,18
174.0848,-47.05208,-46.87371,0.5041504,-0.4099121,0.6196289,76.8961,23.35781,24.21211,19
174.3159,-47.33545,-48.29092,0.8549805,-0.4545898,0.5493164,76.71973,23.53477,23.01856,20
174.7777,-46.51262,-50.16623,0.8215332,-0.5603027,0.2971191,73.89786,22.11914,22.33653,21
175.7259,-47.13964,-53.4999,0.6645508,-0.6103516,0.482666,73.89786,22.82696,24.38262,22
175.3999,-46.33477,-54.40383,0.6669922,-0.6586914,0.4870605,73.36875,23.00391,23.53008,23
-107.1074,-70.01926,-59.30967,0.6325684,-0.623291,0.3300781,74.95605,29.90508,27.11074,218
-103.4007,-73.09705,-58.53012,0.6279297,-0.6096191,0.4035645,73.54512,29.90508,27.45176,219
-96.77668,-78.35168,-56.9961,0.5498047,-0.6845703,0.2519531,73.01602,30.08203,28.98633,220
-91.10962,-82.20098,-54.90268,0.5319824,-0.7646484,0.1762695,71.42871,32.02852,28.81582,221
-85.0599,-86.93707,-52.38419,0.520752,-0.769043,0.262207,72.13418,32.02852,29.83887,222
-80.10654,-90.35902,-50.07601,0.4780273,-0.7861328,0.1333008,71.95782,32.55938,31.37344,223
-75.69964,-93.2745,-47.30255,0.5571289,-0.7885742,0.1101074,72.31055,33.26719,32.7375,224
-71.50552,-95.68409,-44.68808,0.5922852,-0.8234863,0.05102539,71.60508,35.39063,32.39649,225
-66.86282,-98.13281,-42.51466,0.4799805,-0.8605957,0.02270508,69.66504,35.92149,35.63614,226
-61.87907,-100.9448,-39.75665,0.2321777,-0.9074707,-0.05737305,69.84141,35.39063,37.1707,227
-57.03969,-104.0023,-33.75309,0.3586426,-0.9306641,-0.1408691,68.7832,38.57578,38.53477,228
-53.55457,-106.0272,-29.22214,0.3193359,-0.9133301,-0.1831055,70.37052,40.52227,39.04629,229
-49.67692,-108.1734,-25.17868,0.192627,-0.8635254,-0.263916,69.66504,41.58399,41.77442,230
-46.38397,-110.0961,-20.98953,0.2563477,-0.8728027,-0.2434082,70.89962,41.05313,42.96797,231
-43.90127,-110.5322,-18.02013,0.2712402,-0.8952637,-0.3156738,71.95782,41.76094,43.99102,232
-41.13091,-110.7518,-15.76529,0.2363281,-0.9086914,-0.376709,74.07422,44.23828,45.35508,233
-38.51342,-111.2702,-13.5349,0.2438965,-0.8959961,-0.2961426,73.01602,43.17657,46.03711,234
-36.73871,-110.3919,-12.40847,0.3051758,-0.9289551,-0.3149414,74.7797,43.53047,46.71915,235
-34.43487,-109.5483,-12.68499,0.2429199,-0.9306641,-0.3095703,74.60332,44.06133,47.57168,236
-32.68867,-109.0728,-12.13169,0.2197266,-0.9335938,-0.3181152,74.95605,45.83086,46.88965,237
-31.36305,-108.6301,-11.30473,0.2541504,-0.9299316,-0.3601074,74.60332,45.83086,49.27676,238
-30.10296,-109.4256,-11.29299,0.2661133,-0.9301758,-0.3081055,75.66153,45.12305,49.95879,239
-28.20793,-108.8065,-11.86594,0.1696777,-0.9372559,-0.3269043,76.367,44.76914,48.93575,240
