heading,roll,pitch,count
27.06319,9.91432,-4.582025,127
31.18088,9.786736,-8.262392,128
37.14727,9.7102,-13.59773,129
43.02571,9.468878,-19.35994,130
48.38231,8.777598,-25.51303,131
53.92031,7.654968,-30.16896,132
59.05919,6.55273,-33.93094,133
63.45491,6.858077,-38.52745,134
63.22861,9.250315,-41.66426,135
61.33666,12.20149,-44.22513,136
58.99007,16.02499,-45.69699,137
55.18404,21.35509,-46.09858,138
51.3593,27.18816,-45.15706,139
47.07782,33.08606,-42.94153,140
44.11201,38.13194,-40.03227,141
38.95734,45.22688,-37.38344,142
32.24138,52.4681,-35.98689,143
24.18809,60.68286,-34.27551,144
17.14144,67.1223,-31.81988,145
12.40375,69.70448,-31.0044,146
8.406332,71.39329,-29.5738,147
4.779495,72.05118,-27.61657,148
0.5958298,72.29967,-24.659,149
-2.940932,68.40622,-18.713,150
-5.379059,64.18331,-14.78506,151
-7.54843,58.8828,-11.02823,152
-9.285739,52.58132,-7.764043,153
-10.58097,45.89604,-5.393323,154
-11.09656,39.06658,-3.526557,155
-10.90587,32.42472,-2.463683,156
-9.195059,26.23909,-1.902637,157
-5.876986,18.54583,-2.052673,158
-2.488235,13.59568,-2.010238,159
1.038712,9.582926,-1.775032,160
4.40009,6.790498,-1.568799,161
7.416415,4.549194,-1.565142,162
9.854477,3.269062,-1.261744,163
13.4189,2.603329,-3.505345,164
17.18286,1.941633,-6.537531,165
22.15608,1.801588,-11.27148,166
23.91824,3.012026,-12.4298,167
25.72067,3.979914,-13.8326,168
26.42856,4.855251,-15.59077,169
26.41183,5.566941,-17.24724,170
