heading,roll,pitch,count
6.634415,0.009918501,-1.808228,92
10.11062,1.282677,-2.531094,93
18.29076,2.859161,-4.231675,94
24.84882,2.972632,-8.328719,95
31.32771,3.099196,-13.8531,96
37.32765,3.797849,-18.39215,97
44.59723,3.461043,-22.17244,98
51.19387,2.757938,-26.41952,99
56.0539,2.939454,-30.51511,100
60.89423,2.585779,-32.69873,101
65.30313,1.777062,-34.08923,102
65.69913,3.969885,-36.57884,103
64.065,7.131883,-40.0012,104
62.9718,9.749982,-41.47679,105
61.27984,13.13862,-41.36008,106
58.32897,18.02271,-40.82603,107
54.97116,23.35825,-39.6225,108
52.8918,27.65749,-37.08831,109
51.65351,32.65938,-32.9354,110
50.3419,36.59055,-30.40829,111
46.46301,41.2796,-29.31798,112
41.85747,46.39967,-28.45875,113
36.16332,51.30323,-27.98554,114
29.07238,55.32451,-27.94265,115
21.32049,58.86352,-27.71724,116
13.32191,62.45111,-25.7927,117
3.019051,65.2451,-20.4493,118
-2.303297,63.02516,-16.52039,119
-4.949447,59.17437,-12.65396,120
-7.818555,54.72677,-9.458946,121
-10.17913,50.2629,-6.764551,122
-10.72345,45.70713,-4.206631,123
-10.22343,40.57652,-2.116689,124
-9.337568,35.61794,-0.7228897,125
-7.067748,29.91441,0.7836237,126
-4.218441,25.22475,1.477088,127
-1.148639,20.55642,1.084018,128
2.140525,16.53259,0.335085,129
5.50463,12.33205,-1.44115,130
8.64592,8.50138,-4.037581,131
12.02639,5.360935,-7.250013,132
15.3816,3.107503,-10.73282,133
18.94471,2.168684,-14.40483,134
21.29261,1.836343,-16.1792,135
23.16868,1.428396,-18.08647,136
24.13285,1.939913,-19.78999,137
24.72983,2.336632,-21.14683,138
