heading,roll,pitch,ax,ay,az,mx,my,mz,count
-28.42671,-9.028076,-9.91934,-0.2834473,-0.7543945,1.953857,115.8732,17.51836,38.70528,31
-33.1537,-7.838684,-7.154983,-0.3908691,-0.6369629,1.77832,116.9315,21.05742,39.72832,32
-43.01016,-2.324898,-1.887209,-1.398193,-0.5546875,1.616211,115.5205,23.53477,39.72832,33
-47.58916,2.198957,4.515265,-1.398682,-0.4550781,1.653809,115.6969,24.77344,38.87578,34
-50.45975,8.616819,8.929414,-1.984375,-0.4597168,0.862793,114.9914,23.00391,37.85274,35
-50.17948,16.30553,14.26974,-1.914063,-0.5117188,0.9355469,116.5787,19.9957,35.63614,36
-45.24357,24.02351,17.83819,-1.503174,-0.8623047,0.4780273,118.6951,10.44024,34.27207,37
-41.03073,32.94362,17.1678,-1.712891,-0.494873,-0.517334,118.166,4.600781,35.80664,38
-31.94468,41.7781,16.69393,-1.082275,-0.7802734,-0.2619629,119.9297,-3.185156,34.44258,39
-21.47541,46.43398,15.4155,-0.4274902,-1.037842,-0.3251953,119.2242,-9.201563,36.82969,40
-9.407855,49.93252,11.57622,0.3012695,-0.9411621,-0.6989746,115.6969,-19.46484,37.1707,41
0.1485306,50.64615,6.59414,0.1755371,-0.9816895,-1.331055,111.8168,-23.00391,38.53477,42
9.163513,46.79292,1.290927,0.9455566,-1.188965,-0.5026855,102.8221,-26.36602,35.63614,43
18.43009,36.41001,-4.202,1.125977,-1.213623,0.1574707,98.06016,-21.23438,31.03242,44
26.26575,24.93728,-9.322246,1.90625,-1.402344,1.269287,94.53281,-17.69531,28.98633,45
35.37465,12.44763,-11.17951,1.999939,-0.9829102,1.95874,91.35821,-13.09453,25.91719,46
37.62109,4.202438,-13.16799,1.807129,-0.6162109,1.630127,91.71094,-9.201563,25.57617,47
36.13671,1.474947,-13.90324,1.55835,-0.4448242,1.334717,92.59277,-7.255078,26.0877,48
32.25031,-4.550486,-9.204166,0.9562988,-0.5529785,1.346191,100.5293,-2.83125,25.57617,49
24.4473,-7.408541,-8.78679,0.2617188,-0.3991699,0.9924316,104.0566,0.3539063,26.59922,50
15.82443,-11.64861,-6.428292,-0.0769043,-0.470459,1.492432,106.3494,3.362109,29.15684,51
8.18084,-14.66895,-3.05573,-0.315918,-0.4187012,1.596436,106.1731,8.139844,29.66836,52
1.915468,-15.4732,0.2972515,-0.4379883,-0.3833008,1.560791,107.9367,12.03281,30.69141,53
-2.683017,-14.87991,4.39128,-0.423584,-0.1542969,1.112061,109.3477,12.38672,30.35039,54
-5.78775,-12.58331,6.303888,-0.267334,-0.06787109,0.9755859,109.3477,13.09453,33.07852,55
-8.248425,-9.621185,7.487803,-0.1384277,-0.05249023,0.8393555,108.4658,12.20977,32.22598,56
-10.10984,-5.999187,8.597975,-0.09936523,-0.06860352,0.770752,108.8186,10.79414,31.54395,57
-10.09724,-4.916661,6.490564,-0.09423828,-0.0871582,0.7485352,109.1713,11.85586,33.59004,58
-9.762936,-6.564054,7.485682,-0.02905273,-0.1411133,0.8579102,108.6422,10.61719,32.39649,59
-10.17264,-8.270041,5.385744,0.003173828,-0.1555176,0.9250488,108.2895,11.325,33.07852,60
-10.33849,-8.793015,2.577693,0.04394531,-0.1345215,0.8769531,108.2895,12.03281,32.05547,61
-10.22603,-8.509857,-0.09649392,0.04394531,-0.1240234,0.9013672,107.2312,13.09453,33.07852,62
-9.502702,-8.302063,-2.619827,0.08178711,-0.1186523,0.9494629,110.935,12.56367,33.93106,63
-9.237084,-7.312098,-4.931705,0.07861328,-0.1091309,0.8623047,108.2895,10.97109,33.76055,64
-8.748302,-6.750846,-4.421318,0.1386719,-0.1013184,0.8496094,106.7021,12.56367,32.22598,65
-8.623606,-6.758607,-6.765877,0.1193848,-0.1176758,0.8842773,107.7603,12.20977,31.88496,66
-8.410311,-8.047798,-8.014772,0.1276855,-0.1147461,0.8937988,107.2312,10.97109,31.03242,67
-8.825887,-7.195899,-7.005439,0.1108398,-0.1103516,0.8918457,108.2895,13.44844,32.39649,68
-9.776274,-7.455872,-6.62469,0.107666,-0.1210938,0.8903809,107.0549,10.79414,33.59004,69
-8.946486,-8.567468,-6.748784,0.1811523,-0.09692383,0.90625,108.1131,10.79414,33.59004,70
-9.151532,-6.938312,-8.801574,0.09423828,-0.08349609,0.8166504,107.0549,11.14805,31.88496,71
