heading,roll,pitch,count
21.82013,3.349726,-8.290435,206
24.73443,3.689262,-12.10475,207
29.66309,3.737482,-17.42776,208
33.6372,5.12889,-22.05004,209
35.54474,7.103672,-25.72395,210
36.56216,10.3125,-28.68228,211
36.76707,13.17037,-28.92528,212
35.07016,19.75175,-26.68436,213
29.77326,27.97874,-25.25756,214
24.24533,36.29103,-25.65849,215
19.79284,41.73481,-26.8246,216
15.61959,46.50148,-25.41581,217
11.95233,49.44614,-24.10984,218
7.070562,52.82502,-22.00456,219
1.861394,56.66283,-20.23715,220
-3.923934,58.49705,-18.2439,221
-8.476059,58.68506,-16.03712,222
-13.14466,56.4301,-14.13833,223
-18.64185,56.07128,-7.983768,224
-23.97249,51.76337,-4.091895,225
-26.98051,44.60855,-4.179944,226
-27.14475,34.16477,-5.667847,227
-24.81602,25.68358,-6.781729,228
-20.40425,18.45535,-6.457437,229
-17.16347,12.36982,-4.653338,230
-13.353,6.762156,-3.705203,231
-9.278781,2.237281,-3.617518,232
-4.861226,-1.688596,-3.626527,233
-0.6954496,-4.765493,-5.544544,234
3.180906,-6.779777,-7.856946,235
5.241322,-7.702409,-9.273707,236
6.723009,-7.858009,-10.39214,237
7.307857,-7.497226,-11.92455,238
7.438871,-7.327628,-13.95546,239
6.943845,-6.869013,-15.27441,240
5.249485,-6.824428,-15.30176,241
4.717305,-7.636181,-13.51309,242
3.651513,-8.037374,-10.98296,243
2.781886,-8.100435,-9.124681,244
1.856082,-7.839079,-7.137993,245
1.069134,-7.472566,-5.070177,246
0.4215603,-7.194296,-2.961733,247
-0.1398513,-7.024235,-1.093215,248
-1.123597,-6.342666,0.2432153,249
-2.309289,-5.023866,0.06361147,250
-2.658886,-5.469399,2.815782,251
-3.150333,-4.787516,2.059998,252
-3.171686,-6.231453,3.712749,253
-2.612888,-5.742051,4.29567,254
-3.129903,-6.800148,4.142412,255
-4.220975,-7.877877,5.260207,256
-4.317313,-7.865652,6.269562,257
-4.204607,-7.298491,4.802536,258
-3.495229,-6.705853,4.175964,259
-3.456978,-3.852669,5.608292,260
-4.546671,-3.104005,6.679797,261
-3.970788,-2.890838,8.408786,262
