heading,roll,pitch,count
17.41022,47.58431,17.8713,11
21.83103,43.86346,16.01266,12
26.37908,38.28961,15.18826,13
29.6927,32.12606,15.76686,14
30.44206,25.32538,17.05918,15
28.72664,19.72828,18.54667,16
23.94369,11.99225,20.34905,17
19.77929,7.906877,23.0258,18
14.63599,4.760895,25.70554,19
8.735643,1.898843,27.34515,20
2.943814,-0.5462209,29.5785,21
-1.542011,-1.784643,32.73525,22
-4.280073,-1.525926,35.46336,23
-6.60779,-0.9289688,36.47256,24
-7.840962,0.3404111,37.57531,25
-7.705067,3.229745,39.82184,26
-6.643538,5.798399,41.05966,27
-5.397195,8.133343,41.56212,28
-3.679547,10.61806,41.16731,29
-1.761863,12.83879,40.92203,30
-0.3450423,13.82583,39.61073,31
0.04129383,13.1491,38.01192,32
0.08116633,12.22113,36.49994,33
0.1626336,11.63056,35.05193,34
0.4113091,10.70735,32.76995,35
0.7412655,10.26153,30.91008,36
1.633403,10.00385,29.42547,37
2.342641,9.919761,27.78747,38
3.081393,9.735694,26.45482,39
