heading,roll,pitch,count
-23.08901,0.6269049,-8.697928,154
-27.21219,1.117143,-7.92596,155
-32.57457,1.627234,-6.631003,156
-37.94501,1.645624,-5.752522,157
-43.30422,4.489894,-4.628177,158
-48.50202,8.825173,-1.414296,159
-54.96735,14.2604,5.087033,160
-59.50232,18.10599,6.533131,161
-60.46084,22.17916,9.869107,162
-59.74061,26.04808,12.19334,163
-57.40898,30.19002,14.00427,164
-52.906,36.43912,16.30312,165
-47.24571,43.39986,18.99476,166
-39.45103,50.68636,20.92664,167
-30.29671,56.25699,20.62076,168
-17.8732,61.78783,19.18841,169
-9.051078,64.37109,17.19629,170
-1.092679,65.89761,14.20887,171
6.237207,64.80071,10.60144,172
11.76554,61.23011,6.135666,173
16.85569,55.0393,1.487251,174
22.13542,48.18107,-3.128957,175
27.85155,40.90134,-7.08048,176
33.61216,33.31856,-10.87674,177
40.95251,22.99882,-13.19538,178
43.60158,18.7886,-12.01602,179
43.23682,14.59592,-8.931118,180
42.90484,10.22112,-4.052639,181
40.41445,6.583433,0.6752463,182
36.00064,3.225539,2.803268,183
31.18473,0.106625,4.051515,184
26.75386,-2.662776,4.744689,185
18.49561,-6.52283,5.593809,186
11.12808,-9.766353,8.407496,187
4.976131,-11.24659,11.31083,188
0.2217527,-11.32331,13.65939,189
-3.723526,-11.28506,15.98076,190
-6.288055,-10.26205,17.29918,191
-8.017286,-8.578894,18.0391,192
-9.358956,-6.999792,18.79578,193
-10.18918,-5.575376,19.4839,194
-10.07864,-3.15787,19.6089,195
