heading,roll,pitch,count
-5.352962,-115.3305,14.82078,564
-2.511601,-111.7062,15.8381,565
1.182146,-107.9977,15.19821,566
2.260301,-106.2504,15.83876,567
-0.6608903,-105.4441,16.29708,568
-3.150822,-104.2714,15.00832,569
-5.952447,-98.50732,10.78154,570
-8.909074,-93.83653,6.770965,571
-14.60763,-89.64459,5.329522,572
-20.93534,-87.17655,4.640261,573
-26.33535,-84.66431,2.594302,574
-31.81623,-82.60088,-1.55324,575
-38.49141,-79.80554,-6.320228,576
-45.25722,-79.23009,-11.25763,577
-51.9233,-81.04066,-15.52898,578
-57.41536,-87.78234,-21.01221,579
-58.88876,-93.85087,-23.48078,580
-60.02599,-99.57408,-23.38563,581
-60.52692,-105.3986,-22.09373,582
-57.87757,-111.8204,-20.85928,583
-54.72668,-116.8544,-18.06874,584
-51.71892,-121.0051,-13.17667,585
-47.61431,-124.9263,-7.217871,586
-43.45017,-128.8421,1.126781,587
-40.4705,-131.4677,5.984368,588
-35.73421,-131.9226,9.87207,589
-31.50623,-129.4283,14.47405,590
-27.23422,-125.2406,17.93648,591
-23.11453,-120.5066,19.6403,592
-19.41558,-116.3538,19.90848,593
-15.70838,-113.206,20.0873,594
-13.17513,-109.3154,22.97419,595
-15.71944,-105.6422,25.33081,596
-18.45745,-104.3079,24.92762,597
-15.82773,-100.5728,21.33959,598
-13.03141,-97.08991,18.9917,599
-13.12563,-93.6048,20.20814,600
-17.27809,-92.83314,21.63865,601
-19.94964,-92.33539,20.56163,602
-20.75649,-91.30141,17.64747,603
-21.03767,-90.38549,15.34741,604
-22.26955,-89.64207,14.43771,605
-24.66676,-90.78135,14.82507,606
-26.6796,-92.58123,14.46038,607
