heading,roll,pitch,ax,ay,az,mx,my,mz,count
21.078,1.233417,-5.074751,0.7641602,-0.5744629,1.173096,160.3178,22.47305,6.308789,108
22.43495,2.21129,-8.499686,0.7666016,-0.5336914,0.9882813,160.6705,21.76524,5.285742,109
25.36971,4.55802,-13.47428,1.266602,-0.4741211,1.087891,160.6705,19.28789,4.944727,110
26.09507,7.445094,-16.8137,1.596924,-0.4206543,1.259277,159.6123,17.16445,3.580664,111
24.52402,12.08603,-20.22978,1.654053,-0.4726563,1.043457,159.4359,14.51016,1.705078,112
21.20627,18.13549,-22.82145,1.621826,-0.3671875,0.6418457,158.2014,10.08633,-0.1705078,113
16.40508,25.41648,-24.08899,1.422119,-0.3920898,0.4348145,156.4377,7.962891,-0.1705078,114
10.36813,32.95912,-23.80607,1.172852,-0.487793,0.2504883,155.7322,3.362109,-1.193555,115
3.513871,40.83624,-22.15733,0.8022461,-0.4648438,-0.154541,154.4977,-2.123438,0.0,116
-4.401777,48.10632,-20.19652,0.4069824,-0.3061523,-0.310791,155.3795,-5.131641,-0.1705078,117
-15.62463,56.76919,-17.31124,0.2331543,-0.1662598,-0.4467773,153.4395,-8.847656,1.705078,118
-24.49926,60.60192,-13.7589,-0.07617188,-0.1711426,-0.2385254,152.734,-10.97109,1.364063,119
-32.56511,61.15974,-7.048615,-0.8457031,-0.2873535,-0.1538086,151.4994,-10.08633,2.898633,120
-40.32329,57.9516,-0.5073411,-0.9191895,-0.2426758,-0.06298828,151.3231,-12.38672,3.751172,121
-46.79012,53.40216,4.535123,-1.371338,-0.1989746,0.2363281,150.4412,-11.14805,3.92168,122
-52.40636,46.30086,6.88769,-1.110352,-0.1225586,0.3754883,149.383,-10.08633,1.875586,123
-55.32511,38.07675,6.930693,-0.8842773,0.02319336,0.7890625,145.8557,-5.839453,3.239649,124
-55.42757,27.81771,6.419497,-0.7460938,0.06933594,1.480957,145.5029,-0.5308594,1.875586,125
-52.10927,18.4825,6.77138,-0.6767578,0.03979492,1.553467,145.6793,4.600781,1.705078,126
-48.06874,11.66483,6.280702,-0.7602539,-0.1171875,1.583008,146.032,8.493751,4.774219,127
-42.11996,6.367938,7.167305,-0.4543457,-0.3527832,1.57373,147.9721,13.27149,7.672852,128
-35.31299,0.7083299,6.270738,-0.2775879,-0.5290527,1.687012,149.9121,13.44844,9.889454,129
-27.96203,-2.860424,4.563042,-0.1040039,-0.5249023,1.420898,148.1484,12.74063,13.64063,130
-19.7465,-5.273805,3.393369,0.3234863,-0.4453125,1.260742,146.3848,15.21797,9.207422,131
-12.44026,-7.478858,0.09631356,0.4960938,-0.3818359,1.499756,149.0303,20.34961,7.672852,132
-6.553711,-7.030966,-3.30524,0.6325684,-0.3029785,1.064209,151.1467,20.70352,6.308789,133
-1.290853,-5.721375,-6.903528,0.6826172,-0.2473145,1.250244,152.5576,21.41133,6.649805,134
2.197379,-4.478611,-7.715554,0.7485352,-0.1540527,0.8481445,156.6141,19.81875,6.479297,135
4.542672,-3.325182,-9.634704,0.5793457,-0.0793457,1.193359,155.2031,20.88047,5.797266,136
4.985795,-0.8649744,-11.09839,0.4123535,-0.06616211,0.7570801,156.6141,20.17266,6.138281,137
5.271296,0.966923,-11.7553,0.3591309,-0.003173828,0.689209,158.2014,20.34961,4.603711,138
4.911547,2.848685,-12.71372,0.1413574,0.008544922,0.6162109,160.3178,18.58008,3.92168,139
2.402442,4.033249,-11.27371,0.05859375,0.04663086,0.6308594,159.7887,18.40313,5.115234,140
1.083005,5.642742,-7.936036,0.08691406,0.1452637,0.7282715,159.2596,17.87227,4.262695,141
-0.9686623,8.250438,-7.01718,0.03637695,0.1418457,0.8491211,163.1396,17.87227,3.239649,142
-2.252596,8.422277,-4.748301,0.02026367,0.1464844,0.8710938,159.4359,17.69531,2.38711,143
-3.556967,8.708873,-2.415591,0.01049805,0.1618652,0.9187012,160.4941,18.40313,3.069141,144
-5.114061,9.62709,-0.4872469,-0.01660156,0.1474609,0.8774414,160.4941,18.40313,4.433203,145
-5.987767,9.128801,1.125744,-0.01904297,0.1357422,0.8901367,158.3777,19.11094,3.069141,146
-6.892332,7.969083,1.693691,-0.015625,0.1340332,0.8811035,159.7887,18.75703,4.774219,147
-6.808732,9.834913,1.224782,-0.008056641,0.1313477,0.935791,158.5541,18.93398,3.239649,148
-6.609435,7.724453,2.334612,-0.05883789,0.1040039,0.838623,159.6123,19.9957,3.92168,149
-6.69819,6.52506,3.906468,-0.02416992,0.119873,0.8544922,160.6705,18.93398,2.898633,150
-6.459298,7.695161,1.788671,0.001464844,0.1235352,0.9084473,159.965,18.22617,4.262695,151
-6.676331,8.054508,-0.6976046,0.04492188,0.1315918,0.8833008,159.6123,17.87227,3.580664,152
