heading,roll,pitch,ax,ay,az,mx,my,mz,count
20.04519,5.836588,-21.1991,1.000732,-0.01904297,0.9194336,150.0885,22.47305,9.718946,112
23.66203,4.786817,-22.84503,0.7531738,-0.479248,1.231445,152.734,22.29609,9.548438,113
29.43676,2.483196,-23.26391,1.211426,-0.8449707,1.428223,155.5559,22.29609,7.843359,114
34.24196,-0.470743,-21.0407,1.494629,-1.013916,1.506836,157.6723,23.35781,6.820313,115
33.92028,2.285432,-23.53956,1.066895,-1.130859,1.37793,158.3777,21.94219,5.115234,116
31.88332,7.323337,-28.72788,1.494141,-0.8708496,0.7963867,155.3795,17.87227,4.603711,117
28.1541,14.85927,-32.47844,1.602539,-0.5566406,0.4487305,155.3795,12.56367,1.875586,118
22.03897,23.74877,-34.60399,1.655762,-0.3845215,-0.03686523,151.1467,7.962891,1.193555,119
9.269681,37.51006,-36.6461,0.7897949,-0.434082,-0.3625488,147.0902,3.539063,1.705078,120
-1.550454,47.44794,-35.60512,0.5610352,-0.4487305,-0.3527832,144.7975,0.1769531,1.875586,121
-12.53676,53.90886,-34.13831,0.03540039,-0.4501953,-0.2805176,143.7393,-3.008203,4.944727,122
-21.80069,57.52055,-30.91583,0.1296387,-0.1884766,-0.3725586,142.152,-4.954688,6.138281,123
-29.89198,61.97375,-27.54242,-0.04516602,-0.09179688,-0.2441406,143.0338,-9.732422,5.967773,124
-37.39456,61.85874,-21.94922,-0.6337891,-0.01342773,-0.002685547,141.2701,-9.02461,8.695899,125
-41.98993,60.01471,-16.03639,-0.3356934,0.08300781,-0.02929688,140.3883,-12.03281,9.889454,126
-45.82702,55.05461,-10.45199,-0.9123535,0.0,0.4968262,140.5646,-10.44024,6.649805,127
-49.73276,48.23598,-5.949957,-0.6535645,0.1391602,0.314209,140.9174,-9.378516,6.308789,128
-51.46923,40.3043,-3.7802,-1.142578,-0.03833008,1.085205,140.2119,-6.901172,6.649805,129
-51.44554,31.6878,-3.584205,-0.6616211,-0.03686523,1.507813,140.741,-3.892969,5.115234,130
-48.44621,22.63396,-3.198603,-0.8981934,-0.01391602,1.815186,140.3883,1.415625,6.479297,131
-44.29605,16.85732,-1.738497,-0.8100586,-0.2092285,1.574219,143.0338,4.777735,6.99082,132
-38.35942,9.890209,-1.208479,-0.4604492,-0.1933594,1.690918,141.9756,8.316797,8.354883,133
-30.90415,5.30904,-0.6499465,-0.1848145,-0.2392578,1.720703,144.9738,14.51016,8.525391,134
-22.0449,1.003548,-0.3539786,0.06176758,-0.423584,1.300781,146.7375,15.57188,9.548438,135
-11.69354,-4.037974,-2.867363,0.3666992,-0.5224609,1.6521,146.3848,16.9875,12.95859,136
-3.227748,-6.168696,-5.3503,0.8122559,-0.4645996,1.479248,147.7957,19.81875,10.9125,137
3.160938,-5.991684,-9.781057,0.6623535,-0.376709,1.41333,150.0885,20.34961,10.40098,138
8.175323,-3.852968,-13.31196,0.8764648,-0.3024902,0.9238281,150.9703,19.46484,8.866406,139
11.77249,-2.872749,-17.0007,0.8713379,-0.2111816,1.030762,152.5576,20.70352,7.672852,140
14.01974,-0.8262428,-19.87623,0.7919922,-0.1950684,0.8562012,151.8522,20.34961,6.308789,141
15.73231,1.937762,-21.20642,0.6120605,-0.08520508,0.5092773,154.4977,19.11094,5.115234,142
16.87023,2.656432,-21.76808,0.5778809,-0.02783203,0.5266113,156.7904,17.87227,4.262695,143
16.99154,4.878752,-23.02178,0.4326172,0.07299805,0.6369629,156.4377,19.28789,3.580664,144
15.1921,6.489393,-24.98503,0.4777832,0.1171875,0.6142578,157.6723,16.27969,3.751172,145
13.45214,7.845716,-27.17602,0.4216309,0.1672363,0.7253418,156.4377,18.22617,3.239649,146
10.42501,10.1167,-27.35394,0.3864746,0.2070313,0.7473145,156.085,18.58008,2.898633,147
7.719232,12.13042,-27.26803,0.3793945,0.2050781,0.855957,156.7904,17.16445,3.580664,148
5.041007,13.17802,-25.46793,0.269043,0.1853027,0.9165039,156.085,17.87227,4.944727,149
3.349743,13.36824,-22.76322,0.1992188,0.1826172,0.9150391,154.3213,17.87227,3.92168,150
2.071201,13.3572,-20.14496,0.201416,0.1901855,0.9765625,156.2613,17.34141,4.092188,151
0.736764,13.37362,-16.93538,0.1967773,0.1809082,0.9020996,156.4377,16.45664,3.580664,152
-0.5863004,13.14231,-14.57849,0.2104492,0.1875,0.8171387,156.6141,17.69531,3.410156,153
-3.036304,13.91175,-14.31846,0.2111816,0.1953125,0.8823242,157.1432,17.16445,4.603711,154
-4.245984,12.51273,-12.76889,0.2734375,0.189209,0.8537598,155.3795,17.51836,4.944727,155
-4.578311,12.94486,-14.85785,0.2792969,0.1940918,0.8688965,155.5559,19.11094,3.751172,156
