heading,roll,pitch,ax,ay,az,mx,my,mz,count
-41.84999,27.72128,7.923997,-1.984375,-0.8129883,0.2895508,143.3865,-10.44024,4.603711,11
-37.11422,32.95515,7.721214,-1.586182,-1.095703,-0.4477539,144.2684,-12.03281,5.45625,12
-27.48128,41.13268,5.471856,-0.5717773,-1.251709,-1.293213,141.9756,-9.02461,6.99082,13
-20.02302,45.56447,-0.09801662,-0.2897949,-1.584717,-1.984375,140.2119,-7.608984,7.331836,14
-15.47749,46.47082,-9.188039,0.8308105,-1.419678,-1.843994,136.8609,0.0,7.843359,15
-8.306442,41.52238,-21.24242,1.838623,-1.428223,-1.464355,139.1537,7.962891,10.74199,16
-0.1600006,29.38887,-29.38462,1.999939,-1.406494,0.09619141,139.1537,16.10274,12.78809,17
9.863941,15.58391,-33.28954,1.999939,-1.349365,0.4775391,144.2684,21.58828,14.66367,18
17.69733,2.286021,-30.71755,1.999939,-0.8500977,0.932373,148.3248,26.71992,16.88027,19
16.12184,-2.800096,-24.53029,1.999939,-0.9128418,0.8327637,148.6775,26.36602,15.1752,20
9.186424,-6.065831,-18.81557,1.05542,-1.094238,0.9960938,149.7357,25.6582,16.19824,21
-0.4579868,-10.20315,-14.12704,0.284668,-0.9785156,1.210938,146.9139,23.88867,18.58535,22
-9.238905,-15.73899,-8.466092,0.07299805,-1.039063,1.884277,144.7975,21.76524,18.92637,23
-20.96773,-19.52527,-5.479168,-0.6625977,-0.6904297,1.638916,145.6793,19.81875,19.09688,24
-27.68257,-18.95864,-2.221442,-0.4746094,-0.4150391,1.535889,144.092,18.93398,15.51621,25
-31.45611,-16.70963,0.6388764,-0.2199707,-0.3134766,1.449219,142.152,16.9875,13.29961,26
-33.83597,-12.24472,2.600788,-0.4501953,-0.1540527,0.6965332,140.2119,14.68711,11.08301,27
-36.08052,-8.135468,5.746704,-0.1640625,0.09765625,0.621582,138.4482,10.44024,8.695899,28
-35.62089,-3.92823,7.236187,0.08789063,0.1723633,0.5375977,139.8592,8.670704,8.695899,29
-35.43913,-0.170968,6.131143,0.02319336,0.192627,0.6101074,140.0355,6.724219,7.843359,30
-34.26849,2.611539,5.398702,0.06640625,0.1525879,0.7006836,138.801,7.608984,8.354883,31
-31.64883,4.519813,4.056842,0.1940918,0.1486816,0.7553711,138.9773,7.785938,7.502344,32
-29.64805,5.594302,2.047905,0.2189941,0.1542969,0.7373047,138.9773,7.078125,7.161328,33
-27.69594,6.134434,-0.1941932,0.236084,0.1950684,0.7980957,138.2719,7.078125,8.184376,34
-25.53229,7.079246,-2.11343,0.232666,0.2268066,0.7565918,140.0355,7.785938,8.184376,35
-23.05157,7.841658,-3.655905,0.3798828,0.237793,0.8037109,139.6828,8.139844,9.207422,36
-21.19508,8.153675,-5.769459,0.4230957,0.215332,0.8835449,140.9174,8.316797,8.695899,37
-19.75852,8.192534,-7.881628,0.2893066,0.1772461,0.9025879,139.3301,9.201563,7.843359,38
-17.96897,8.175497,-9.534146,0.2568359,0.1574707,0.9194336,138.2719,9.55547,7.161328,39
-15.15751,7.886489,-11.06639,0.2797852,0.152832,0.9208984,142.152,9.201563,8.525391,40
-13.27017,7.990184,-12.70384,0.2421875,0.1647949,0.8896484,140.0355,10.26328,7.161328,41
-11.06985,8.710443,-13.75683,0.2460938,0.1794434,0.8642578,138.801,9.732422,7.672852,42
-9.236023,9.787939,-14.74843,0.2321777,0.1760254,0.8688965,141.4465,7.785938,7.161328,43
-6.693625,10.30594,-14.85148,0.2893066,0.1848145,0.8891602,141.7992,8.139844,8.184376,44
-5.438503,10.84852,-16.66051,0.269043,0.1848145,0.8759766,140.0355,10.61719,7.502344,45
-4.033477,11.91303,-15.75172,0.2177734,0.1826172,0.8417969,141.6229,10.44024,7.672852,46
-3.310921,12.30243,-14.53472,0.2851563,0.1704102,0.8830566,141.4465,10.26328,6.820313,47
