heading,roll,pitch,ax,ay,az,mx,my,mz,count
-24.04164,-1.070266,0.5423996,-1.038574,-0.901123,1.95459,122.2225,15.39492,44.84355,122
-29.19046,-0.1827818,3.054274,-1.984375,-0.8869629,1.970703,122.2225,18.58008,46.88965,123
-34.32151,5.6484,9.283835,-1.984375,-0.861084,1.082031,122.2225,19.28789,47.23067,124
-32.45036,13.49764,15.21572,-1.984375,-1.130859,0.746582,124.868,17.34141,45.01407,125
-23.83508,22.85897,17.79057,-1.503662,-1.145508,0.1276855,125.9262,8.847656,45.01407,126
-14.94004,32.10506,18.45042,-1.257324,-1.297607,-0.6428223,127.5135,1.592578,46.54863,127
-3.682522,40.71068,19.36744,-0.3762207,-1.489502,-1.357178,129.6299,-7.255078,48.59473,128
7.382103,45.50431,17.97542,0.734375,-1.401367,-1.151855,124.868,-16.27969,50.47031,129
16.3275,45.69215,12.79478,1.101318,-1.285156,-1.678711,121.8697,-23.53477,48.59473,130
25.28395,39.00774,6.956791,1.999939,-1.035156,0.04589844,111.9932,-26.01211,44.16152,131
33.5793,29.77856,2.983541,1.999939,-0.6757813,1.49707,109.524,-25.3043,40.06934,132
35.48384,17.1533,3.089727,1.842041,-0.5493164,1.999939,108.4658,-16.81055,36.65918,133
30.84848,11.37756,2.968234,1.044922,-0.3244629,1.75708,109.8768,-13.27149,36.31817,134
26.18658,4.667488,6.089794,0.5310059,-0.5722656,1.598877,113.4041,-10.79414,36.31817,135
16.55188,-1.937636,7.634435,-0.6799316,-0.1538086,1.62207,116.226,-3.716016,37.68223,136
9.432361,-4.068235,9.610568,-0.3276367,-0.08105469,1.22168,117.4605,0.0,37.51172,137
1.829512,-7.019485,10.74994,-0.5458984,-0.09545898,1.638184,118.8715,3.892969,37.85274,138
-3.767593,-7.015696,10.73857,-0.7043457,-0.1101074,1.211426,115.8732,7.962891,37.68223,139
-8.108564,-7.693929,12.70061,-0.7807617,-0.1396484,1.261963,116.9315,9.732422,35.29512,140
-10.51156,-6.773277,13.76937,-0.3010254,-0.07666016,1.052734,115.5205,9.732422,35.63614,141
-11.02579,-3.635657,11.24868,-0.4414063,-0.05175781,0.5019531,112.1695,9.55547,33.76055,142
-11.93326,-4.139844,12.93762,-0.2915039,-0.08569336,0.9343262,112.3459,10.79414,35.29512,143
-10.38476,-5.739202,13.95777,0.09423828,-0.1052246,1.149658,110.935,8.670704,34.27207,144
