heading,roll,pitch,ax,ay,az,mx,my,mz,count
61.61584,96.90318,-18.16467,0.6022949,1.278564,-1.087158,100.5293,-29.37422,96.50743,84
65.37309,93.92677,-18.58194,0.4055176,0.7766113,-1.832275,96.29649,-31.14375,94.80235,85
69.96231,87.78072,-15.66985,-0.1442871,0.7915039,-1.2146,95.06192,-36.9832,90.19864,86
77.309,79.11883,-9.517097,-0.3271484,0.8364258,-1.049561,97.17833,-38.39883,84.40137,87
82.80787,73.81278,-5.399273,-0.359375,0.576416,-1.486328,94.88555,-39.2836,77.06954,88
88.86333,68.60215,-1.461675,-0.5820313,0.0871582,-1.410645,95.76739,-39.81445,73.48887,89
93.73122,63.83797,5.027033,-1.23291,0.09692383,-1.10498,98.58927,-38.04492,68.37364,90
101.388,59.2891,12.45088,-1.119141,-0.3820801,-1.361572,100.1766,-37.51406,62.74688,91
107.206,55.35853,19.41348,-1.182617,-0.6499023,-0.8776855,102.1166,-36.6293,61.21231,92
107.3604,46.84083,27.04034,-1.979004,-0.6208496,0.05419922,103.8803,-33.79805,56.09707,93
107.7126,37.68675,33.82899,-1.776855,-0.7351074,0.6176758,107.2312,-30.08203,49.78828,94
110.3257,31.60043,39.82485,-1.566162,-0.6901855,0.871582,106.7021,-27.42774,45.18457,95
112.0022,27.00195,43.97866,-1.35083,-0.5407715,0.9162598,106.8785,-25.12734,43.65,96
112.919,24.79688,47.4324,-1.282715,-0.3088379,0.5356445,107.2312,-24.77344,43.30899,97
112.8459,22.57132,50.64977,-1.126221,-0.130127,0.7651367,108.6422,-21.94219,44.33203,98
111.5267,20.58598,53.75246,-1.025146,0.009521484,0.6938477,108.8186,-23.18086,42.11544,99
109.1021,19.05377,55.43548,-1.056152,0.1665039,0.4912109,108.1131,-24.95039,43.82051,100
107.4836,18.96826,57.64593,-0.9421387,0.2463379,0.467041,108.2895,-23.00391,45.01407,101
106.5798,20.34074,59.60751,-0.8476563,0.3012695,0.4204102,108.9949,-25.83516,45.35508,102
105.2408,21.36904,60.68361,-0.8083496,0.3198242,0.3430176,107.4076,-25.3043,46.54863,103
104.6478,23.13204,62.08475,-0.7331543,0.3537598,0.3095703,110.2295,-26.01211,45.18457,104
104.8463,25.75307,63.42728,-0.671875,0.3447266,0.3752441,108.1131,-26.36602,45.8666,105
103.3213,27.36496,64.15402,-0.6901855,0.3483887,0.3320313,108.6422,-26.54297,44.33203,106
102.445,29.19366,65.01361,-0.6865234,0.3674316,0.3027344,106.3494,-25.3043,46.54863,107
102.5157,31.9103,65.99422,-0.6611328,0.3479004,0.317627,107.584,-26.89687,45.6961,108
101.3569,33.37655,66.62068,-0.7036133,0.3796387,0.3449707,107.4076,-26.01211,46.54863,109
99.74819,34.43997,67.05292,-0.6960449,0.3662109,0.3706055,106.7021,-27.07383,47.57168,110
97.18561,34.40963,67.16255,-0.6984863,0.3481445,0.3654785,107.584,-26.89687,45.6961,111
94.30239,34.28267,67.48031,-0.7246094,0.3679199,0.3549805,105.9967,-26.71992,46.20762,112
91.46102,34.02276,67.62112,-0.7666016,0.375,0.3928223,105.8203,-26.89687,46.37813,113
88.67603,34.3733,67.5492,-0.7185059,0.359375,0.3605957,107.2312,-27.9586,45.6961,114
86.36015,34.70294,67.5497,-0.7358398,0.3481445,0.4094238,104.9385,-24.59649,47.23067,115
81.96588,32.27012,66.92886,-0.7800293,0.3640137,0.4162598,106.7021,-24.95039,46.54863,116
78.69701,31.53901,66.48183,-0.7705078,0.3598633,0.4189453,106.1731,-25.48125,45.6961,117
76.51527,32.03852,65.89329,-0.7316895,0.3500977,0.3950195,105.8203,-26.54297,46.71915,118
74.21482,32.32069,65.04785,-0.7348633,0.3701172,0.3945313,108.2895,-26.18906,46.03711,119
72.27685,33.06159,64.27387,-0.7290039,0.3757324,0.4067383,106.7021,-25.6582,45.52559,120
70.34277,33.79696,63.39019,-0.7304688,0.3842773,0.3811035,106.7021,-26.71992,47.23067,121
68.99915,35.60293,62.76453,-0.7287598,0.3852539,0.3566895,108.2895,-27.60469,47.06016,122
67.90905,36.95,62.48836,-0.7099609,0.3762207,0.3725586,107.584,-26.89687,46.03711,123
65.84065,37.12471,61.6368,-0.7197266,0.3806152,0.3776855,105.9967,-26.01211,46.20762,124
64.14543,37.66907,60.99589,-0.7121582,0.3666992,0.3552246,107.584,-26.54297,46.71915,125
62.37482,37.99716,60.56176,-0.6975098,0.3596191,0.3779297,105.8203,-27.60469,47.06016,126
60.01069,37.67392,59.88833,-0.7124023,0.3571777,0.3676758,106.3494,-28.48945,45.18457,127
57.58942,37.18543,59.55865,-0.7268066,0.3669434,0.3771973,108.2895,-27.60469,46.03711,128
