heading,roll,pitch,ax,ay,az,mx,my,mz,count
-15.17885,65.90505,-6.871267,-0.1235352,1.447266,-0.05517578,173.7217,-17.51836,5.626758,855
-18.0897,70.0468,-5.63664,0.3522949,1.999939,-0.6079102,171.4289,-18.75703,5.797266,856
-19.65918,69.15699,-7.075068,1.283691,1.984863,-1.174561,171.6053,-14.68711,4.262695,857
-15.99119,61.56038,-6.946639,-1.339844,1.999939,0.1276855,173.369,-6.19336,2.898633,858
-7.176893,57.19032,-1.513678,-1.091553,1.999939,-1.984375,180.4236,-4.069922,4.603711,859
-2.622634,50.20895,-3.413731,-1.984375,1.624023,-1.984375,181.4818,0.8847657,2.898633,860
10.02643,42.36452,-2.175212,-1.984375,-0.7421875,-1.125732,187.8311,9.02461,11.42402,861
21.03516,32.82986,-0.2623668,-1.483643,-1.045898,-1.984375,193.8275,10.79414,18.58535,862
31.72997,24.30764,4.049615,-0.7243652,-1.608643,-1.593262,198.2367,9.55547,24.55312,863
40.31149,12.56453,11.70823,-0.8537598,-1.984375,-1.534668,200.3531,8.847656,31.37344,864
39.81855,1.899279,17.22445,-1.352295,-1.984375,0.06738281,201.7641,8.847656,36.14766,865
36.6062,-9.665813,16.48977,-1.663818,-1.984375,0.7285156,201.235,9.02461,36.31817,866
37.72596,-9.621614,18.45537,-0.6877441,-1.984375,0.1223145,201.7641,8.139844,35.46563,867
36.87485,-8.053523,16.5623,-0.7836914,-1.984375,1.124268,202.1168,8.493751,34.7836,868
31.8703,-2.038877,11.05078,-1.000732,-1.984375,0.4550781,197.0021,10.79414,26.0877,869
21.78894,3.766509,3.478815,-1.440186,-1.785156,-0.3117676,195.2385,11.50195,18.58535,870
11.40067,10.85914,0.2992538,-1.094482,-0.9487305,0.006103516,188.3602,9.55547,12.27656,871
-2.091338,20.72219,-3.476648,-1.984375,0.6462402,-1.984375,182.8928,1.946484,6.649805,872
4.163719,31.33436,0.2728891,1.148193,1.022949,-1.047852,185.891,-9.201563,7.843359,873
10.41992,32.47313,-3.591166,0.2612305,1.318604,0.5532227,184.1273,-13.09453,10.23047,874
12.68456,40.92749,-3.922126,0.9990234,1.479492,0.03125,185.3619,-15.04102,12.10606,875
16.71836,45.07505,-3.337895,0.6730957,1.26123,0.8620605,185.1855,-17.34141,14.32266,876
18.4476,46.432,-5.145237,0.5947266,1.072021,1.489014,184.4801,-19.11094,15.00469,877
19.46237,49.13394,-6.367654,0.3859863,1.145264,0.5002441,186.9492,-20.17266,16.02774,878
20.7636,53.53615,-6.454375,0.388916,0.9851074,0.5844727,186.7729,-20.70352,17.90332,879
