heading,roll,pitch,ax,ay,az,mx,my,mz,count
58.12168,53.07332,-5.722518,-0.9523926,1.999939,-0.9291992,111.9932,-34.85977,61.55332,682
64.77806,50.3519,-6.259159,-0.612793,1.467285,-1.138428,105.8203,-36.09844,57.29063,683
73.58719,43.97525,-6.985459,-0.9436035,0.6713867,-1.416016,102.1166,-36.9832,53.70996,684
80.99255,35.87678,-5.868211,-1.009766,0.06420898,-0.9814453,99.29473,-35.92149,48.93575,685
91.03553,29.23833,0.6579653,-0.934082,-0.3879395,-1.652344,101.0584,-34.15195,46.20762,686
93.73418,23.53392,6.748868,-1.626221,-0.6306152,-0.8637695,101.2348,-29.72813,42.28594,687
93.34178,14.27621,10.99582,-1.984375,-1.03418,0.02587891,101.2348,-24.77344,36.14766,688
94.83008,4.889412,14.52916,-1.727539,-1.319824,0.6025391,102.1166,-17.16445,31.88496,689
98.75012,-1.860191,19.56218,-1.041748,-1.631348,0.7827148,101.0584,-14.3332,29.49785,690
101.3363,-7.023636,22.88418,-0.7580566,-1.297852,0.90625,101.2348,-13.80234,28.98633,691
100.8842,-11.85307,23.61883,-0.7685547,-0.8537598,0.8774414,101.0584,-10.79414,28.81582,692
99.27602,-14.69807,24.80179,-0.6340332,-0.6479492,0.9353027,101.7639,-10.08633,27.11074,693
96.45023,-16.87795,25.9571,-0.7614746,-0.3061523,0.8486328,102.8221,-10.79414,27.11074,694
94.14031,-17.45508,26.5664,-0.645752,-0.1462402,0.8093262,102.4693,-9.732422,28.13379,695
92.13301,-16.82615,27.22964,-0.6818848,0.008544922,0.6083984,100.3529,-9.02461,27.45176,696
90.97761,-15.68768,28.72972,-0.4331055,0.01611328,0.6745605,101.0584,-8.670704,28.81582,697
89.47681,-14.66595,29.71902,-0.4516602,0.02416992,0.5629883,101.5875,-9.909375,28.64531,698
87.20655,-15.2689,29.84744,-0.5976563,0.03735352,0.6555176,101.9402,-9.909375,28.64531,699
85.28642,-15.92858,30.08337,-0.5805664,-0.01708984,0.7832031,101.0584,-9.378516,28.13379,700
84.03404,-15.68957,30.76324,-0.5131836,-0.08154297,0.7148438,101.5875,-9.55547,27.62227,701
82.21887,-15.54015,31.32867,-0.5141602,-0.1047363,0.6484375,101.7639,-11.85586,28.47481,702
80.58165,-16.0849,31.42025,-0.4816895,-0.1274414,0.7106934,99.64747,-7.962891,27.45176,703
78.78608,-16.49525,31.54656,-0.4902344,-0.1206055,0.7385254,98.23653,-9.02461,28.13379,704
77.04994,-16.63093,31.79196,-0.5212402,-0.1025391,0.7211914,98.58927,-8.316797,27.11074,705
