heading,roll,pitch,ax,ay,az,mx,my,mz,count
28.99335,53.18338,8.656969,-0.1833496,0.6054688,0.9326172,70.54688,-36.09844,57.97266,141
25.35406,52.33209,12.27007,0.06445313,1.203369,1.263916,73.89786,-37.33711,58.14317,142
26.55618,54.37254,17.11859,1.241455,1.619141,1.22168,77.77793,-39.81445,60.18926,143
22.37644,50.24597,22.62518,-0.5791016,1.999939,1.39209,88.88907,-39.6375,57.97266,144
25.20249,46.0126,33.62872,0.3125,1.999939,1.999939,99.29473,-36.6293,56.43809,145
32.20949,46.548,38.69035,1.999939,1.999939,-0.578125,102.1166,-35.92149,56.09707,146
25.44185,41.86,42.45984,0.6882324,-0.5378418,-1.984375,109.3477,-31.85157,56.94961,147
19.77421,29.01499,54.46796,-1.984375,-1.710693,-1.984375,123.1043,-16.27969,52.85743,148
-1.262465,-0.6178885,62.23897,-1.900146,-1.719238,0.1665039,129.8063,-5.308594,52.17539,149
0.3705153,-3.065286,63.37854,-0.02026367,-1.89917,-0.6794434,128.748,-6.724219,53.19844,150
11.139,4.767881,64.0436,0.1643066,-1.335205,-0.2316895,125.5734,-10.26328,51.15235,151
9.444699,3.317221,65.12265,-0.8520508,-0.4416504,-0.3354492,125.0443,-11.50195,53.02793,152
8.506182,4.317382,70.04308,-1.045898,-0.02099609,-0.3886719,126.1025,-11.85586,55.07402,153
13.42986,11.27958,74.16707,-1.31665,0.1291504,-0.08300781,126.2789,-13.09453,56.26758,154
24.14126,24.02045,75.74287,-1.289795,0.1237793,0.03515625,126.4553,-13.27149,56.7791,155
34.01217,35.87656,75.02927,-1.082031,0.08276367,0.015625,123.457,-16.9875,57.97266,156
40.79886,43.80751,74.96532,-1.066406,0.1833496,0.2160645,124.868,-18.04922,58.31367,157
40.8031,45.07835,72.79531,-0.8876953,0.2121582,0.04003906,123.6334,-19.28789,58.8252,158
44.90604,50.71045,71.73922,-0.8508301,0.2788086,0.08349609,121.8697,-20.70352,58.14317,159
48.17203,55.03949,70.3778,-0.8078613,0.2473145,0.1787109,120.9879,-21.58828,58.31367,160
46.45051,54.18791,68.34045,-0.8193359,0.2243652,0.111084,120.2824,-23.00391,56.94961,161
45.97494,54.5973,67.36256,-0.9091797,0.2883301,0.1257324,120.4588,-22.47305,58.48418,162
47.33074,56.77917,66.30269,-0.8798828,0.2263184,0.154541,118.5187,-23.00391,55.92657,163
46.67596,56.65672,65.272,-0.8208008,0.2617188,0.2026367,115.1678,-26.01211,55.07402,164
44.0844,54.86719,63.55146,-0.8796387,0.3476563,0.2021484,115.6969,-25.48125,55.92657,165
43.38041,55.18839,61.22751,-0.8032227,0.3171387,0.2260742,113.2277,-29.02031,54.56251,166
44.06435,56.33994,59.19588,-0.6958008,0.2944336,0.2805176,111.4641,-27.9586,55.58555,167
43.63135,55.99164,57.38894,-0.6730957,0.3774414,0.2736816,110.7586,-29.02031,55.24454,168
43.05333,56.31952,55.68872,-0.7700195,0.449707,0.2084961,110.5822,-29.55117,54.39199,169
43.85131,57.92545,54.46102,-0.7092285,0.4504395,0.2626953,108.6422,-30.43594,55.92657,170
44.38299,58.96197,52.6696,-0.6757813,0.4645996,0.2883301,106.8785,-30.78984,56.6086,171
