heading,roll,pitch,ax,ay,az,mx,my,mz,count
37.72969,52.80365,-1.178206,-1.957275,-0.2988281,-1.399902,195.7676,-10.97109,19.09688,136
39.6145,47.57033,1.032549,-1.661865,-0.7646484,-1.008301,194.533,-7.255078,17.22129,137
46.01934,38.70123,3.964719,-1.005859,-1.318604,-1.24585,197.7076,-4.777735,19.94942,138
50.43902,27.58511,10.84897,-1.607422,-1.54834,0.2165527,200.3531,-2.123438,21.48399,139
53.89846,18.11439,16.16292,-1.279785,-1.440918,0.3833008,201.235,-2.300391,25.06465,140
56.74449,8.598884,21.82506,-1.182129,-1.669189,0.4255371,200.7059,-2.83125,28.64531,141
57.22609,-1.817438,25.18548,-1.245117,-1.582031,0.7851563,201.9404,-3.362109,29.15684,142
57.09089,-8.594406,26.86044,-1.132813,-1.443115,0.4165039,201.0586,-1.769531,28.64531,143
57.35403,-12.85752,29.82543,-0.7399902,-1.363525,0.4619141,202.2932,-4.069922,30.17988,144
55.93496,-16.21205,31.67733,-0.782959,-1.176025,0.6809082,202.6459,-3.362109,31.20293,145
53.19696,-17.99161,32.11498,-0.9291992,-0.888916,0.454834,202.8223,-3.185156,29.66836,146
49.56582,-18.33459,33.78603,-0.8327637,-0.640625,0.5070801,202.6459,-4.069922,29.83887,147
46.52921,-17.36265,34.21848,-0.8481445,-0.5461426,0.6032715,201.9404,-4.423828,30.17988,148
43.13848,-15.28338,32.98296,-1.07373,-0.4475098,0.4660645,202.2932,-1.238672,29.83887,149
40.54493,-12.25988,32.39832,-0.9997559,-0.3498535,0.6313477,202.1168,-3.185156,28.98633,150
38.53335,-7.926608,31.35823,-0.8129883,-0.3864746,0.6049805,201.0586,-3.539063,26.94024,151
36.82775,-2.297669,29.55384,-0.6726074,-0.314209,0.3139648,199.6477,-3.892969,24.55312,152
34.41658,2.457157,27.6187,-0.567627,-0.1279297,0.5109863,198.2367,-4.600781,22.50703,153
30.82829,6.663572,25.52343,-0.5681152,-0.003173828,0.4604492,198.2367,-5.6625,20.80195,154
26.29371,12.82488,23.45534,-0.5507813,0.1591797,0.3735352,196.6494,-6.547266,19.26738,155
23.66795,18.07117,22.35294,-0.3447266,0.2758789,0.4086914,194.8857,-6.901172,18.24434,156
20.65038,23.0495,20.80894,-0.2854004,0.3513184,0.5786133,194.3566,-7.785938,17.05078,157
16.00419,27.36193,18.44525,-0.2602539,0.3684082,0.5554199,192.593,-8.847656,15.00469,158
12.01346,31.96837,16.7163,-0.1525879,0.4003906,0.5517578,191.3584,-9.02461,12.44707,159
8.870324,36.09468,13.18623,-0.1218262,0.4567871,0.5358887,190.6529,-8.670704,12.78809,160
6.622236,40.53719,10.30479,0.05908203,0.5009766,0.5913086,189.5947,-11.50195,13.47012,161
4.41968,43.54872,7.285124,-0.05786133,0.5266113,0.4987793,189.4184,-12.03281,11.93555,162
2.614183,49.21777,5.79814,0.0625,0.598877,0.5180664,190.6529,-11.50195,11.08301,163
1.33872,51.11985,3.945045,0.09960938,0.637207,0.6760254,188.7129,-12.38672,12.27656,164
-0.4443947,52.03309,3.07656,-0.02001953,0.7092285,0.5805664,188.8893,-11.85586,12.10606,165
-0.2941914,55.39904,3.923235,-0.03735352,0.8259277,0.534668,188.1838,-13.27149,10.74199,166
